"username","komentar"
"istikasariae_h3ru","Pokok pilih aja yg bisa nurunin pajak😂. Wkwkwk"
"riefky.alfarifki","𝙼𝚊𝚗𝚝𝚊𝚏𝚏𝚏 😍"
"guchateu","Cukup tau aja😂"
"asnawi_hutabarat","Kaesang cuma 1% 😭😭"
"achmaderza","Ka seang sih 58%"
"ruhiyatprayoga","See..."
"riohtapea","Bebas siapa aja. Asal jgn si tukang pisang bangkrut"
"rhyo88","Anjir 1 persen"
"haji.toriqqqq","giliran anis diatas pada percaya 😂😂😂"
"jeffpapilaya","Seru nih...."
"toufikbaelah","Siapa ajalah asal jgn kaesang"
"cae.che","kaesang idolaque"
"jeklin_76","jika benar Ahok vs Anies nyalon lagi,apakah akan ada lg masa 212 jilid 2,atau 234 macem dji sam soe😂😂"
"yayo.ism","Coba survey qodari, kaesang No.1 diikuti anak zulhas.."
"ela71mom","Msh aja akun blm mup on bahas Ahok kalah😂😂😂😂😂"
"lindatokugawa_","Bismillah Abah menang lagi"
"auliaarezki","Srimul jd cagub? Waaah sprtinya... 😂"
"radensingawijaya","Kolaborasi koalisi PDIP,PKB,PKS ,PPPAnies-AhokAA OKE"
"denny_e_putra","Biarin Ahok lg aja yg mimpin dah"
"m.rahman1217","Maunya KAESANG"
"ruri_personal","DHARMA PONGREKUN 🙌🙌🙌"
"poik1985","Bukan  mendapat 7% ...tp kenapa ketumnya cuma dapat 1% .....kayanya ada yang salah niih ? 😂"
"effanzulfiqar","Lho bukan Kaesang yg katanya sangking tingginya elektabiitas sampai bingung milih ikut Pilkada di Jakarta apa Jateng"
"arsyah_007","Kalo gw mendingan RK aja krn dia jelas ahli tata kota handal dan gak sering bikin gaduh."
"jovie_rjp","Numpang tanya yg milih heru siapa ya?? 😢"
"wiga_dp","Heru ada yg milih? Ga mungkin. Pasti paksaan"
"krriiss28","Dalam darah anies baswedan mengalir darah p.demokrasi indonesia perjuangan sejati🐂🔥🤭"
"naff_eko","Dan anies b tidak membayar survey manapun"
"dadan.darmawann16","Ahooookkkķk"
"surya_yogaswara","AB&BTP🔥🔥🔥"
"medv.edev385","Ga yakin.."
"helloadam99","ORANG KAMPUNG PILIH ANIES"
"betalagi1002","Sekelas mantan Panglima, mensos cuma 1%, sama dgn Kaesang 😂😂😂😂"
"yefri.as_p","Karung Goni mana 😂"
"riswadi_salam","Sya pilih heru budi untuk kemajuan jakarta😂"
"dee_sasta","Pak Erick🔥🔥🔥👏👏"
"mandaladewa1989","Waduh jangan ahok lagi bosen lihat demo berjilid jilid lagi😢"
"mangworkout26","Anies vs Ahok atau Duet Ahok - Anies ? hahaja"
"eric.ef10","Anies - Ahok 🔥"
"mariuslastyono","Peroode survey 15 sd 20 juli 2024?"
"alx_asg","😂😂😂😂 wan Abud bisa rangking satu? 😂 Lawak nih."
"agg_widyani","gue pilih ahok dan heru"
"__maolana","Cek jejak rekam bos jgn katanya"
"dealovarsy","Menurutku, Pak ahok better maju as gubernur sumut, gagalin tuh dinasti yg mau dibangun disana"
"ardhitya_sw","RK + AHOK Gacor sih... 😂"
"fitriyahfebsalsa09","Smpe kaesang yg menang. Bner bner dah"
"utchup_levy","Ti mentri aktip lumpat ka pilkada, konsepna kumaha eta nya 😂😂😂"
"mahfudst","Perasaan ada yg prnah bilang klo Kaesang surveinya tinggi di Ibu Kota."
"ig.2017","pantes aja carut marut"
"ardhitya_sw","Itu abang Kaesang Nyalonin aja Ntar hasilnya jadi dpt 58,2% Suara... Percaya dah😂"
"rafraj_00","Kalau sekarang kira2 anak abah percaya surveikah? Soalnya pas pilpres kemarinkan pada ga percaya survei. 😂😂😂"
"notforfun24","Ahok terbaik . Anies gak bisa kerja . Cuman omon omon omon 😂😂😂."
"rahmanineti","Nah ini survey beneran"
"zulhan_zain","Anaknya ketua PAN kok tdk ada dalam daftar 😂"
"chuntan46","Ahok BTP 🔥❤️"
"zoel_azham02","Menurut mahfud md yg saat itu jd kemenhumkam,ahok sudah tdk bisa lg jd pejabat negara"
"vicky_ats","Tak gendong kmana mana tak gendong kmana mana"
"putuwahyudi75","😂😂😂makin banyak gorong gorongnya"
"amsal_sumarlin","Ini kumparan ma Buzzer anies dari Pilpers ma emang.  Yakin beliau bs naik"
"ndankcr7","Sekarang aja bru tgl 16 juli 🗿"
"info.pusat.jogja","Meskipun anak ksayangan negara 1% ujungnya juga bakal menang kok bisa diatur mah itu."
"alwntfk","Anak presiden gatau malu"
"valiant.holy","dukung"
"daffa_channel46","Pak anies 🔥🔥🔥👏👏👏"
"dikkyhrdn","ternyata cuman se level gub 👏"
"yayansaputra26","Abah Anies bismillah 🔥"
"zahidakmal_94","😍"
"edi_su6357","Si 🐸🐸🐸 cuma 1%😂😂😂"
"cakrochim","Anies-Ahok jadi satu keren kali ya😍"
"m_rizky_pratama_almahbub","Plis lah terserah mau ahok atau anis, maju di jabar aja😢"
"wali_sukma_abadi","Udah paling bener -- Rematch aja anies- ahok..🔥🔥🔥"
"zaputpoen","yukk pak anis maju lg... kalo kalah kan msh bisa nyalon kades😂"
"diditcempaka","Hanya 400 responden .....yang layak di adu tanding Anis dan Ahok ....ke dua nya sekarang antitesa Jokowi"
"azis_muslim.30","Yakin itu anak pak de mau nyalonin sama babah alun? 1%"
"eventsob","Ahok - Andika : gimana ?"
"jhosseph_v","AHOK Yezzz"
"atlas098","Anies yes..fr sunter.."
"margaretha.52","Anies lah"
"andi_apachun","Kompas tandain ya.masa anak bungsu presiden cuma 1%."
"vujidharmawan","Ahok tapi mau coba di medan"
"atlas098","Anies yes..fr sunter.."
"derbudi","Selera warga Jakarta"
"ongenih","Heru gimna heru"
"munjaina","Abah mantap"
"fariz_rizki13","Itu yg 1% paling bawah lu ye jon  😂😂"
"cvdesain.id","Ridwan kamil bagus sih. Tapi yang lain aja juga gapapa 🔥"
"ra6naroc","Hebat jg Kaesang bisa nyamain org2 hebat"
"lebanty19","Realistis"
"lord_andra09","Pelan-pelan ko'  🐃🚩⭐🤟🏻🔥"
"dikirahman01","Hahaha"
"setiajit9","Rasanya rakyat sdh bosan dg benturan saling menjelekkan di era demokrasi yg bebas bersuara, kayaknya ada pengajian ada kebaktian yg dibahas sdh perkelahian, shg pilpres pileg baru usai ada perpecahan lg di Pilkada, lama2 bs berantakan negara ini, semoga tidak demikian, ini krn cinta sy kepada Bangsa dan Negara RI,"
"d_conan45","Anies Baswedan - Ahok ❤️"
"petrusta","Anis vs ahok aja tapi ga pake isu agama dan ras. Tanpa paksaan bener bener hati nurani. Bisa ga kira2"
"agnwboo","Plis, Anies - Ahok"
"cebonglite","Jadi inget pas pilpres kemaren Anies kagak percaya survey Litbang kompas...😂😂😂😂"
"hendra_hutauruk15","kalo udh ahok turun, bisa jadi 68%"
"asepsuhendar963","Yg warga jakarta ngacung 😂"
"jos_agunghb","Ahok - ridwan.... josss 😍"
"dwia856","😂😂"
"chemetery_gates","Orang2nya circle nya itu2 aja....kaga ada apa calon dari kalangan marjinal"
"hldmarz","Itu siapa dah yg vote milih heru budi? 😂"
"rcardo_603l703m","Gubernurnya Ridwan kamil wakilnya Basuki cahaya purnama cocok gak?"
"putra.aminaya","1.Anies - Ahok 2.Anies - Andhika 🔥🔥🔥🔥🔥"
"geyisiagian","AHOKK"
"pjooo__","ahok🔥"
"joki11642","Semoga Tuhan ijinkan Ahok jadi gubernur.....wakilnya  pak Jonas...👏"
"jilkinamarah","Gw sih ahok"
"arsidsugiantoro","Semoga jakarta mendapatkan gubernur yg baik bagus n amanah😊🤲"
"si_bogar","Ahok dong..., terbukti tegas....👍 Cuma dlu kejebak ayat, yg digoreng trs oleh kubu sebelah...."
"yayat4476","Kaesang Pangarep."
"yayat4476","Jendral TNI Andika perkasa"
"simbolon.mawardi","❤️❤️"
"febrihxnx","Bismillah pak anies ❤️"
"marz_volta","Padahal mending kaesang biar bisa rasakan cacimaki warga jkt 😂"
"ibnusetiawan85","Pilkada msh jauh perhitungan suara😂😂😂😂"
"rifky.abdulaziz","RK lebih tinggi dari KP ko malah golkar ngusung KP"
"tedot94","Ahok bagus, anies jg gpp... 🔥"
"rifky.abdulaziz","AB & BTP pasti jakarta lebih baik🔥🔥🔥🔥🔥🔥"
"giwong_sniper","Saya pilih anies baswedan"
"satriokonthit","Anies bagus di survey,pas pemiihan kalah,bisa  gak ya kaak gitu"
"andrea_claire118","Ahok lah"
"izzuddin_assulthan","ada yang milih Heru Budi?"
"katarina_sozovka","pak Anies untuk Jakarta selamanya 😍😍😍😍😍"
"ron.indarto","Ahok vs Anies dah paling seru 🔥🔥🔥"
"kusnadiputera_fjr02","Aku berharap pak anies pimpin jakarta lagi🔥😍"
"indonesia_maju.2024","Masih heran ,kenapa bnyk yg milih anis sih"
"yeels_18","Dah ngk usah poling langsung lantik aja lah dah kebaca jg nt ujung ujungnya siapa 😂😂😂"
"yudimic","Udahlah biar Pak  dan Pak   aja, biar sekali-kali ngerasin kalah sang Raja itu.. Jateng juga pasang yang kuat, jgn sampe kerajaan itu lah.. Dukung 100% ini met"
"abdulkhairibnufaridi4","Akun baru netes pada ribut kagak karuan krn nama pak Anies tinggi😂"
"pranindito_gadies","Anis jendral andika🔥"
"rafialif007","Semangat pak heru... 😂"
"kifli_ritawati_96","Jelas Pak Anis yang Lebih banyak Prestasinya🥰🙏"
"murdiono_ali","Kasihan deh pribumi Betawi cuma jadi penonton yang terpinggirkan 😥😥😥"
"jen13_lin","ah surve yg lain anak pak lurah no 1 😂"
"iam_gavins","Dan kalian masih Percaya sama Wan Abud.. Tukang Obat..?😃😄"
"aigoo_watashi","Berkat ketidakbecusan Heru sekaligus terlalu manut sama Jokowi, warga Jakarta mengalami CLBK. Cinta Lama Bersemi Kembali."
"elyselys651","Duet ANIES-ANDIKA kereen nih!"
"achmadsan88","Bagus kayaknya Kaesang - Heru budi berpasangan ... biar makin lawak negeri ini😂"
"adi_susanto362","Mau siapapun gub dki, yaa tetap gitu² aja. Macet banjir, kws kumuh, pkl, itulah penyakit gak bisa sembuh²👏👏"
"szsz5g","JELAS, CERDAS ,BERKOMPETEN ,"
"aribopel","Dan pemenangnya adalah bapak kaesang 😂"
"perkakasjaya","Anak abah. Bilng ini survei bayaran gak yaah😂😂😂😂😂😂😂😂😂😂"
"difanugrah","Aku"
"lauren_prima","Ayo maju lagi Ahok dan Anies, biar bertarung ulang. Tapi jgn pake politisasi agama, bertarung kualitas dan program kerja saja."
"yanto.soewarna","Sy pilih Zita Anjani anaknya Ketum PAN Zulkifly Hassan"
"m_jamieal","Jgn ahok deh, gede bacot doang"
"modric_cool2","bjiiiirr si anis turun kasta lagi🔥"
"arif_100293","Realistis"
"kiosaka_frozenfood","josss BTP"
"utssgood","Dah lah.. damaikan anies ahok demi lawan dinasti pisang.."
"aldeeomeen","Zakat aja 2,5%😂"
"tamasl05","Ahok yg sdh turun panggung saja masih bisa 20%, tinggal dipoles lagi pasti moncer"
"asterrn_","Mas Heru kok paling bawah"
"gregorius.geli","Ahok"
"insight.pras5758","😂😂😂😂 paling bahagia kaum 17%"
"gregorius.geli","Ahok aja,, biar beresin semua kekacauan di jakarta..."
"dul22577","Menyala abahku"
"ayutiasih","Takutnya survei gini menang, pas memilihan kalah, tantrum lg... Jangan lah diPHP kasian pendukungnya..."
"djokovic_bone","DkJ butuh muka baru ,orang baru bukan orang lama di kemas baru ....belangnya yg lama dah tau lah"
"swyudha","Goreng terus Kompas !!!!"
"warno_59","Kasian Kaesang kurang peminat, kenapa ya ????"
